Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT-TH_CR2032-BS-6-1,1,CR2032,C70377
"C1, C3",0603,2,1uF,C15849
"C10, C11, C13, C14, C4, C5, C7, C8, C9",0603,9,100nF,C14663
C12,0603,1,10nF,C57112
"C2, C6",0603,2,10uF,C96446
D1,SOD-123F_L2.8-W1.8-LS3.7-RD,1,1N5819W,C169540
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C2927037
J2,TF-SMD_TF-15-15,1,SD_Card_Device,C111196
Q1,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,1,AO3401A,C15127
Q2,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,AO3400A,C20917
R1,0603,1,18kΩ,C25810
R10,0603,1,100kΩ,C22935
R11,0603,1,51kΩ,C23192
"R12, R15, R7",0603,3,10kΩ,C25804
"R13, R17",0603,2,10k,C25804
R14,0603,1,100Ω,C22775
R16,0603,1,10Ω,C22859
"R18, R19",0603,2,4.7kΩ,C23162
"R2, R3, R4, R5",0603,4,22Ω,C23345
R6,0603,1,1kΩ,C21190
"R8, R9",0603,2,5.1k,C23186
SW1,SW-SMD_4P-L5.2-W5.2-P3.70-LS6.5,1,4*4*1.7,C10852
TH1,0603,1,Thermistor_NTC,C7462093
U1,WSON-10_L2.2-W2.0-P0.40-BL-EP_TI_DLH0010A,1,BQ25185DLHR,C19725033
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,DS3232M,C2651581
U4,TSOT-23-6_L2.9-W1.6-P0.95-LS2.8-TL,1,MAX16054AZT+T,C79401
U5,WSON-14_L4.0-W4.0-P0.50-BL-EP,1,LMP91002SDX/NOPB,C2651581
U6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,TPS22918TDBVRQ1,C2653760
U7,TSSOP-10_3x3mm_P0.5mm,1,ADS1115IDGS,C468683
